,CustomerID,TotalRevenue,Orders,FirstPurchase,LastPurchase,DaysActive,AvgOrderValue,PurchaseFreq,ValueSegment
0,12346,77183.6,1,2011-01-18 10:01:00,2011-01-18 10:01:00,0,77183.6,1.0,High
1,12347,4310.0,7,2010-12-07 14:57:00,2011-12-07 15:52:00,365,615.7142857142857,0.5316455696202532,High
2,12348,1797.24,4,2010-12-16 19:09:00,2011-09-25 13:13:00,282,449.31,0.3846153846153846,High
3,12349,1757.55,1,2011-11-21 09:51:00,2011-11-21 09:51:00,0,1757.55,1.0,High
4,12350,334.4,1,2011-02-02 16:01:00,2011-02-02 16:01:00,0,334.4,1.0,Low
5,12352,2506.04,8,2011-02-16 12:33:00,2011-11-03 14:37:00,260,313.255,0.8275862068965518,High
6,12353,89.0,1,2011-05-19 17:47:00,2011-05-19 17:47:00,0,89.0,1.0,Low
7,12354,1079.4,1,2011-04-21 13:11:00,2011-04-21 13:11:00,0,1079.4,1.0,Medium
8,12355,459.4,1,2011-05-09 13:49:00,2011-05-09 13:49:00,0,459.4,1.0,Medium
9,12356,2811.43,3,2011-01-18 09:50:00,2011-11-17 08:40:00,302,937.1433333333333,0.2710843373493976,High
10,12357,6207.67,1,2011-11-06 16:07:00,2011-11-06 16:07:00,0,6207.67,1.0,High
11,12358,1168.06,2,2011-07-12 10:04:00,2011-12-08 10:26:00,149,584.03,0.33519553072625696,Medium
12,12359,6372.58,4,2011-01-12 12:43:00,2011-10-13 12:47:00,274,1593.145,0.39473684210526316,High
13,12360,2662.06,3,2011-05-23 09:43:00,2011-10-18 15:22:00,148,887.3533333333334,0.5056179775280899,High
14,12361,189.9,1,2011-02-25 13:51:00,2011-02-25 13:51:00,0,189.9,1.0,Low
15,12362,5226.23,10,2011-02-17 10:30:00,2011-12-06 15:40:00,292,522.6229999999999,0.9316770186335405,High
16,12363,552.0,2,2011-04-11 13:29:00,2011-08-22 10:18:00,132,276.0,0.37037037037037035,Medium
17,12364,1313.1,4,2011-08-19 15:24:00,2011-12-02 10:22:00,104,328.275,0.8955223880597015,High
18,12365,641.38,2,2011-02-21 13:51:00,2011-02-21 14:04:00,0,320.69,2.0,Medium
19,12367,168.9,1,2011-12-05 16:48:00,2011-12-05 16:48:00,0,168.9,1.0,Low
20,12370,3545.6899999999996,4,2010-12-14 12:58:00,2011-10-19 14:51:00,309,886.4224999999999,0.35398230088495575,High
21,12371,1887.96,2,2011-10-11 10:43:00,2011-10-26 10:16:00,14,943.98,1.3636363636363635,High
22,12372,1298.04,3,2011-02-16 12:46:00,2011-09-29 12:12:00,224,432.68,0.3543307086614173,High
23,12373,364.6,1,2011-02-01 13:10:00,2011-02-01 13:10:00,0,364.6,1.0,Low
