InvoiceNo,CustomerID,OrderDate,Revenue,OrderMonth,FirstOrder,IsNew
536365,17850,2010-12-01 08:26:00,139.12,2010-12-01,2010-12-01 08:26:00,True
536366,17850,2010-12-01 08:28:00,22.200000000000003,2010-12-01,2010-12-01 08:26:00,False
536367,13047,2010-12-01 08:34:00,278.73,2010-12-01,2010-12-01 08:34:00,True
536368,13047,2010-12-01 08:34:00,70.05000000000001,2010-12-01,2010-12-01 08:34:00,False
536369,13047,2010-12-01 08:35:00,17.85,2010-12-01,2010-12-01 08:34:00,False
536370,12583,2010-12-01 08:45:00,855.86,2010-12-01,2010-12-01 08:45:00,True
536371,13748,2010-12-01 09:00:00,204.0,2010-12-01,2010-12-01 09:00:00,True
536372,17850,2010-12-01 09:01:00,22.200000000000003,2010-12-01,2010-12-01 08:26:00,False
536373,17850,2010-12-01 09:02:00,259.86,2010-12-01,2010-12-01 08:26:00,False
536374,15100,2010-12-01 09:09:00,350.4,2010-12-01,2010-12-01 09:09:00,True
536375,17850,2010-12-01 09:32:00,259.86,2010-12-01,2010-12-01 08:26:00,False
536376,15291,2010-12-01 09:32:00,328.8,2010-12-01,2010-12-01 09:32:00,True
536377,17850,2010-12-01 09:34:00,22.200000000000003,2010-12-01,2010-12-01 08:26:00,False
536378,14688,2010-12-01 09:37:00,444.98,2010-12-01,2010-12-01 09:37:00,True
536380,17809,2010-12-01 09:41:00,34.8,2010-12-01,2010-12-01 09:41:00,True
536381,15311,2010-12-01 09:41:00,449.98,2010-12-01,2010-12-01 09:41:00,True
536382,16098,2010-12-01 09:45:00,430.6,2010-12-01,2010-12-01 09:45:00,True
536384,18074,2010-12-01 09:53:00,489.6,2010-12-01,2010-12-01 09:53:00,True
536385,17420,2010-12-01 09:56:00,130.85,2010-12-01,2010-12-01 09:56:00,True
536386,16029,2010-12-01 09:57:00,508.20000000000005,2010-12-01,2010-12-01 09:57:00,True
536387,16029,2010-12-01 09:58:00,3193.92,2010-12-01,2010-12-01 09:57:00,False
536388,16250,2010-12-01 09:59:00,226.14,2010-12-01,2010-12-01 09:59:00,True
536389,12431,2010-12-01 10:03:00,358.25,2010-12-01,2010-12-01 10:03:00,True
536390,17511,2010-12-01 10:19:00,1825.74,2010-12-01,2010-12-01 10:19:00,True
536392,13705,2010-12-01 10:29:00,318.14,2010-12-01,2010-12-01 10:29:00,True
536393,13747,2010-12-01 10:37:00,79.6,2010-12-01,2010-12-01 10:37:00,True
536394,13408,2010-12-01 10:39:00,1024.68,2010-12-01,2010-12-01 10:39:00,True
536395,13767,2010-12-01 10:47:00,507.88,2010-12-01,2010-12-01 10:47:00,True
536396,17850,2010-12-01 10:51:00,376.36,2010-12-01,2010-12-01 08:26:00,False
536397,17924,2010-12-01 10:51:00,279.0,2010-12-01,2010-12-01 10:51:00,True
536398,13448,2010-12-01 10:52:00,426.56,2010-12-01,2010-12-01 10:52:00,True
536399,17850,2010-12-01 10:52:00,22.200000000000003,2010-12-01,2010-12-01 08:26:00,False
536400,13448,2010-12-01 10:53:00,17.4,2010-12-01,2010-12-01 10:52:00,False
536401,15862,2010-12-01 11:21:00,354.23,2010-12-01,2010-12-01 11:21:00,True
536402,15513,2010-12-01 11:22:00,357.0,2010-12-01,2010-12-01 11:22:00,True
536403,12791,2010-12-01 11:27:00,192.60000000000002,2010-12-01,2010-12-01 11:27:00,True
536404,16218,2010-12-01 11:29:00,471.3,2010-12-01,2010-12-01 11:29:00,True
536405,14045,2010-12-01 11:32:00,326.4,2010-12-01,2010-12-01 11:32:00,True
536406,17850,2010-12-01 11:33:00,353.14,2010-12-01,2010-12-01 08:26:00,False
536407,17850,2010-12-01 11:34:00,22.200000000000003,2010-12-01,2010-12-01 08:26:00,False
536408,14307,2010-12-01 11:41:00,783.11,2010-12-01,2010-12-01 11:41:00,True
536409,17908,2010-12-01 11:45:00,243.28,2010-12-01,2010-12-01 11:45:00,True
536412,17920,2010-12-01 11:49:00,514.41,2010-12-01,2010-12-01 11:49:00,True
536415,12838,2010-12-01 11:57:00,390.79,2010-12-01,2010-12-01 11:57:00,True
536416,13255,2010-12-01 11:58:00,225.7,2010-12-01,2010-12-01 11:58:00,True
536420,16583,2010-12-01 12:03:00,233.45,2010-12-01,2010-12-01 12:03:00,True
536423,18085,2010-12-01 12:08:00,303.9,2010-12-01,2010-12-01 12:08:00,True
536425,13758,2010-12-01 12:08:00,362.45,2010-12-01,2010-12-01 12:08:00,True
536437,13694,2010-12-01 12:12:00,842.12,2010-12-01,2010-12-01 12:12:00,True
536446,15983,2010-12-01 12:15:00,440.89,2010-12-01,2010-12-01 12:15:00,True
536460,14849,2010-12-01 12:22:00,295.54,2010-12-01,2010-12-01 12:22:00,True
536463,14849,2010-12-01 12:22:00,17.4,2010-12-01,2010-12-01 12:22:00,False
536464,17968,2010-12-01 12:23:00,277.35,2010-12-01,2010-12-01 12:23:00,True
536466,14849,2010-12-01 12:23:00,42.9,2010-12-01,2010-12-01 12:22:00,False
536477,16210,2010-12-01 12:27:00,2474.7400000000002,2010-12-01,2010-12-01 12:27:00,True
536488,17897,2010-12-01 12:31:00,165.89,2010-12-01,2010-12-01 12:31:00,True
536500,17377,2010-12-01 12:35:00,223.9,2010-12-01,2010-12-01 12:35:00,True
536502,16552,2010-12-01 12:36:00,95.29,2010-12-01,2010-12-01 12:36:00,True
536508,17181,2010-12-01 12:38:00,155.52,2010-12-01,2010-12-01 12:38:00,True
536514,17951,2010-12-01 12:40:00,295.5,2010-12-01,2010-12-01 12:40:00,True
536520,14729,2010-12-01 12:43:00,313.49,2010-12-01,2010-12-01 12:43:00,True
536521,12748,2010-12-01 12:48:00,4.95,2010-12-01,2010-12-01 12:48:00,True
536522,15012,2010-12-01 12:49:00,191.06,2010-12-01,2010-12-01 12:49:00,True
536523,12868,2010-12-01 12:50:00,203.3,2010-12-01,2010-12-01 12:50:00,True
536524,17572,2010-12-01 12:51:00,70.80000000000001,2010-12-01,2010-12-01 12:51:00,True
536525,14078,2010-12-01 12:54:00,136.24,2010-12-01,2010-12-01 12:54:00,True
536526,14001,2010-12-01 12:58:00,301.24,2010-12-01,2010-12-01 12:58:00,True
536527,12662,2010-12-01 13:04:00,261.48,2010-12-01,2010-12-01 13:04:00,True
536528,15525,2010-12-01 13:17:00,313.93,2010-12-01,2010-12-01 13:17:00,True
536529,14237,2010-12-01 13:20:00,161.0,2010-12-01,2010-12-01 13:20:00,True
536530,17905,2010-12-01 13:21:00,201.75,2010-12-01,2010-12-01 13:21:00,True
536531,15485,2010-12-01 13:23:00,950.09,2010-12-01,2010-12-01 13:23:00,True
536532,12433,2010-12-01 13:24:00,1919.1399999999999,2010-12-01,2010-12-01 13:24:00,True
536533,16955,2010-12-01 13:31:00,156.1,2010-12-01,2010-12-01 13:31:00,True
536534,15350,2010-12-01 13:33:00,115.65,2010-12-01,2010-12-01 13:33:00,True
536535,15605,2010-12-01 13:38:00,194.85000000000002,2010-12-01,2010-12-01 13:38:00,True
536536,18144,2010-12-01 13:45:00,165.04999999999998,2010-12-01,2010-12-01 13:45:00,True
536537,15922,2010-12-01 13:51:00,369.5,2010-12-01,2010-12-01 13:51:00,True
536538,14594,2010-12-01 13:54:00,255.0,2010-12-01,2010-12-01 13:54:00,True
536539,15165,2010-12-01 14:03:00,487.75,2010-12-01,2010-12-01 14:03:00,True
536540,14911,2010-12-01 14:05:00,540.38,2010-12-01,2010-12-01 14:05:00,True
536541,14911,2010-12-01 14:05:00,15.0,2010-12-01,2010-12-01 14:05:00,False
536542,16456,2010-12-01 14:11:00,787.4,2010-12-01,2010-12-01 14:11:00,True
536551,17346,2010-12-01 14:34:00,146.61,2010-12-01,2010-12-01 14:34:00,True
536556,17643,2010-12-01 14:38:00,101.55,2010-12-01,2010-12-01 14:38:00,True
536557,17841,2010-12-01 14:41:00,537.38,2010-12-01,2010-12-01 14:41:00,True
536559,17873,2010-12-01 14:54:00,215.14999999999998,2010-12-01,2010-12-01 14:54:00,True
536560,13093,2010-12-01 15:00:00,799.4,2010-12-01,2010-12-01 15:00:00,True
536561,12921,2010-12-01 15:06:00,322.40000000000003,2010-12-01,2010-12-01 15:06:00,True
